id,dzien,miesiac,rok,data_pelna,dzien_tygodnia,kwartal
4381,18,1,2024,2024-01-18,Thursday,1
4382,19,1,2024,2024-01-19,Friday,1
4383,20,1,2024,2024-01-20,Saturday,1
4384,21,1,2024,2024-01-21,Sunday,1
4385,22,1,2024,2024-01-22,Monday,1
4386,23,1,2024,2024-01-23,Tuesday,1
4387,24,1,2024,2024-01-24,Wednesday,1
4388,25,1,2024,2024-01-25,Thursday,1
4389,26,1,2024,2024-01-26,Friday,1
4390,27,1,2024,2024-01-27,Saturday,1
4391,28,1,2024,2024-01-28,Sunday,1
4392,29,1,2024,2024-01-29,Monday,1
4393,30,1,2024,2024-01-30,Tuesday,1
4394,31,1,2024,2024-01-31,Wednesday,1
4395,1,2,2024,2024-02-01,Thursday,1
4396,2,2,2024,2024-02-02,Friday,1
4397,3,2,2024,2024-02-03,Saturday,1
4398,4,2,2024,2024-02-04,Sunday,1
4399,5,2,2024,2024-02-05,Monday,1
4400,6,2,2024,2024-02-06,Tuesday,1
4401,7,2,2024,2024-02-07,Wednesday,1
4402,8,2,2024,2024-02-08,Thursday,1
4403,9,2,2024,2024-02-09,Friday,1
4404,10,2,2024,2024-02-10,Saturday,1
4405,11,2,2024,2024-02-11,Sunday,1
4406,12,2,2024,2024-02-12,Monday,1
4407,13,2,2024,2024-02-13,Tuesday,1
4408,14,2,2024,2024-02-14,Wednesday,1
4409,15,2,2024,2024-02-15,Thursday,1
4410,16,2,2024,2024-02-16,Friday,1
4411,17,2,2024,2024-02-17,Saturday,1
4412,18,2,2024,2024-02-18,Sunday,1
4413,19,2,2024,2024-02-19,Monday,1
4414,20,2,2024,2024-02-20,Tuesday,1
4415,21,2,2024,2024-02-21,Wednesday,1
4416,22,2,2024,2024-02-22,Thursday,1
4417,23,2,2024,2024-02-23,Friday,1
4418,24,2,2024,2024-02-24,Saturday,1
4419,25,2,2024,2024-02-25,Sunday,1
4420,26,2,2024,2024-02-26,Monday,1
4421,27,2,2024,2024-02-27,Tuesday,1
4422,28,2,2024,2024-02-28,Wednesday,1
4423,29,2,2024,2024-02-29,Thursday,1
4424,1,3,2024,2024-03-01,Friday,1
4425,2,3,2024,2024-03-02,Saturday,1
4426,3,3,2024,2024-03-03,Sunday,1
4427,4,3,2024,2024-03-04,Monday,1
4428,5,3,2024,2024-03-05,Tuesday,1
4429,6,3,2024,2024-03-06,Wednesday,1
4430,7,3,2024,2024-03-07,Thursday,1
4431,8,3,2024,2024-03-08,Friday,1
4432,9,3,2024,2024-03-09,Saturday,1
4433,10,3,2024,2024-03-10,Sunday,1
4434,11,3,2024,2024-03-11,Monday,1
4435,12,3,2024,2024-03-12,Tuesday,1
4436,13,3,2024,2024-03-13,Wednesday,1
4437,14,3,2024,2024-03-14,Thursday,1
4438,15,3,2024,2024-03-15,Friday,1
4439,16,3,2024,2024-03-16,Saturday,1
4440,17,3,2024,2024-03-17,Sunday,1
4441,18,3,2024,2024-03-18,Monday,1
4442,19,3,2024,2024-03-19,Tuesday,1
4443,20,3,2024,2024-03-20,Wednesday,1
4444,21,3,2024,2024-03-21,Thursday,1
4445,22,3,2024,2024-03-22,Friday,1
4446,23,3,2024,2024-03-23,Saturday,1
4447,24,3,2024,2024-03-24,Sunday,1
