id,data_id,klient_id,trener_id,zajecie_id,sala_id,ocena_zajec,czas_trwania,liczba_uczestnikow,data_zajec
1,4812,38,11,15,64,3.9,90,18,2025-12-30 08:29:00
2,5069,118,9,16,68,3.3,90,27,2024-05-05 13:58:00
3,4788,4,4,24,63,4.7,60,27,2025-10-25 13:32:00
4,4485,133,3,18,66,3.3,120,8,2025-02-24 19:22:00
5,4430,82,8,17,62,2.9,45,12,2025-12-08 15:58:00
6,4795,10,11,24,64,3.2,60,25,2025-04-16 06:27:00
7,4965,141,19,10,63,1.6,60,25,2024-09-26 13:15:00
8,4956,110,18,21,65,4.8,60,25,2025-07-06 15:28:00
9,4551,50,20,16,70,5.0,45,13,2024-08-02 10:11:00
10,4733,96,2,16,67,2.1,45,22,2024-11-24 22:45:00
11,5036,46,5,14,65,1.8,60,23,2024-05-12 12:33:00
12,4905,110,11,10,69,2.9,90,20,2024-05-16 11:58:00
13,4513,117,1,11,66,2.9,60,6,2025-05-15 13:57:00
14,4986,37,20,22,64,3.9,120,28,2025-10-27 08:05:00
15,4404,107,14,11,64,1.7,45,11,2024-06-05 18:12:00
16,5020,169,18,18,61,4.5,90,27,2025-09-07 18:26:00
17,4823,64,6,23,61,4.6,90,15,2025-10-22 19:10:00
18,5089,61,1,10,61,3.3,90,17,2024-07-08 19:18:00
19,4826,112,13,20,66,1.8,90,21,2024-05-12 11:04:00
20,4448,93,5,19,64,2.9,90,16,2024-10-16 12:11:00
21,4884,169,8,24,64,3.3,120,5,2024-08-04 16:36:00
22,4387,154,8,21,70,3.3,90,21,2025-11-03 15:30:00
23,4413,44,14,14,68,4.7,90,24,2024-02-20 13:13:00
24,4657,55,3,12,66,3.1,45,27,2024-04-02 16:51:00
25,4834,24,10,16,65,3.8,90,22,2024-04-03 08:12:00
26,4396,2,19,19,64,3.4,90,23,2024-11-11 07:18:00
27,4920,123,4,24,68,4.9,60,15,2024-06-03 19:48:00
28,4473,31,8,24,69,4.9,90,25,2024-07-11 17:20:00
29,4536,183,14,19,68,3.0,120,13,2024-04-09 18:04:00
30,4929,100,18,12,66,3.5,90,11,2025-12-20 16:31:00
31,4731,94,18,14,67,2.4,120,21,2024-03-10 19:13:00
32,4546,34,8,12,69,1.4,90,24,2024-03-03 06:37:00
33,4484,21,7,22,69,4.8,60,20,2024-08-22 13:42:00
34,4826,11,15,14,63,3.2,90,16,2024-03-27 15:01:00
35,4634,198,5,14,64,3.4,90,28,2025-04-14 10:48:00
36,4845,162,2,18,68,3.7,90,22,2025-01-08 12:27:00
37,4919,150,8,24,70,3.3,90,22,2025-10-26 19:33:00
38,4574,86,17,19,68,3.3,60,21,2024-04-16 12:34:00
39,4554,145,2,16,66,1.9,60,25,2025-02-07 10:57:00
40,4581,64,16,12,70,2.6,45,18,2025-10-24 21:08:00
41,4444,64,11,17,70,3.4,120,20,2025-10-13 15:18:00
42,4384,75,17,22,64,4.9,120,7,2025-08-23 15:11:00
43,4409,98,5,21,64,4.1,45,25,2025-09-16 06:00:00
44,4917,135,5,12,61,1.8,60,13,2025-01-24 08:44:00
45,4747,37,4,18,66,1.9,120,21,2024-07-03 19:38:00
46,4754,40,7,20,68,3.7,120,23,2025-05-08 09:53:00
47,4557,129,2,19,68,3.2,45,10,2025-07-22 16:12:00
48,4688,112,12,13,64,3.6,60,22,2025-05-21 07:03:00
49,4782,195,5,19,68,3.0,45,13,2024-12-29 08:02:00
50,4491,103,20,11,64,1.3,60,16,2024-02-08 17:02:00
51,4771,139,18,23,67,1.4,120,27,2024-05-02 14:12:00
52,4392,112,9,22,67,2.5,60,6,2024-02-13 13:11:00
53,4626,24,19,18,67,3.4,120,27,2025-04-08 14:28:00
54,4412,111,2,12,68,1.4,120,14,2025-04-12 19:05:00
55,4914,83,11,13,63,4.3,120,27,2024-04-27 15:16:00
56,4657,5,20,16,63,3.3,120,11,2024-02-03 06:27:00
57,5032,77,13,20,64,2.1,45,11,2025-09-13 10:52:00
58,4647,158,3,12,62,2.1,45,28,2024-12-31 13:28:00
59,4829,146,1,24,69,3.4,60,24,2024-06-21 10:09:00
60,4908,47,3,21,70,1.0,120,5,2025-05-30 17:08:00
61,5072,31,11,13,62,3.5,60,23,2024-02-11 10:43:00
62,4391,168,13,24,66,2.2,45,25,2025-11-15 09:49:00
63,4417,181,8,17,62,4.6,120,21,2024-09-07 22:43:00
64,4687,110,19,18,69,3.3,45,16,2024-05-10 18:55:00
65,4890,8,1,24,70,3.9,90,23,2024-11-12 20:50:00
66,4463,75,13,23,67,3.9,120,28,2025-06-23 06:26:00
67,5045,153,17,21,62,2.1,120,26,2024-10-24 11:24:00
68,4669,166,8,15,63,2.0,45,21,2025-08-08 17:47:00
69,4816,185,5,21,69,4.0,120,28,2024-06-04 12:17:00
70,4887,61,15,15,69,2.6,90,30,2025-01-16 12:32:00
71,4487,172,10,24,70,3.5,90,14,2025-04-30 15:50:00
72,4649,143,1,20,69,2.3,60,25,2025-02-23 12:32:00
73,4853,11,6,22,69,1.7,120,12,2024-07-12 09:45:00
74,4466,27,10,22,69,4.4,45,17,2024-06-15 15:11:00
75,4572,64,2,16,64,2.9,60,8,2025-03-18 14:39:00
76,4930,32,6,17,64,4.4,60,13,2024-06-26 12:08:00
77,4820,61,6,17,67,1.6,120,21,2025-11-26 17:46:00
78,4400,25,4,21,61,3.4,90,21,2024-11-19 22:41:00
79,4802,152,12,18,67,4.2,90,30,2025-05-08 18:38:00
80,4935,59,17,16,61,4.2,60,11,2025-01-05 20:02:00
81,4873,165,18,13,66,3.3,90,16,2024-05-07 09:31:00
82,4398,77,14,19,70,3.9,45,28,2024-04-10 18:45:00
83,4673,48,6,12,62,1.1,45,23,2025-10-28 13:23:00
84,5064,64,20,10,68,2.0,45,13,2024-02-13 14:35:00
85,5102,59,1,20,68,3.4,45,9,2025-06-27 15:39:00
86,4641,73,16,19,70,2.7,90,8,2025-08-25 19:33:00
87,4494,131,13,18,62,3.6,120,15,2024-10-08 13:28:00
88,4781,35,6,14,61,3.3,90,15,2024-04-16 11:35:00
89,4989,200,1,11,69,1.7,45,8,2025-10-15 07:21:00
90,5100,159,13,14,61,4.6,45,14,2025-07-30 12:34:00
91,4638,128,13,19,62,2.4,60,30,2025-10-14 16:09:00
92,4864,140,11,14,65,1.6,45,27,2024-09-05 14:34:00
93,4441,38,8,21,65,1.4,60,24,2024-12-14 19:12:00
94,4943,97,14,15,67,4.4,60,6,2026-01-15 08:25:00
95,4382,45,8,18,65,3.0,120,22,2024-08-26 06:35:00
96,4915,12,4,14,69,4.6,45,28,2024-08-06 07:54:00
97,4925,30,14,17,70,4.0,120,30,2025-11-15 09:43:00
98,4432,89,16,18,68,1.8,90,28,2025-08-14 16:46:00
99,4529,95,13,10,67,4.9,90,23,2025-09-09 14:47:00
100,4502,23,14,13,69,2.9,45,14,2025-08-02 13:00:00
101,4831,199,17,15,68,1.4,60,9,2025-07-14 17:39:00
102,4742,44,11,22,66,2.3,60,30,2024-11-04 15:01:00
103,5037,11,10,24,61,2.8,120,22,2024-06-29 08:01:00
104,4551,52,10,14,62,2.3,45,16,2025-02-17 14:57:00
105,4433,85,5,15,66,1.6,90,27,2025-05-19 20:14:00
106,4957,126,19,18,70,3.0,120,15,2024-05-05 19:24:00
107,5019,52,4,22,63,1.3,120,12,2024-04-26 08:24:00
108,4655,47,5,17,62,3.8,45,19,2024-06-29 09:38:00
109,4503,10,15,17,68,3.3,45,24,2025-11-08 22:58:00
110,4759,65,6,12,62,4.1,120,27,2025-05-27 20:37:00
111,4403,14,13,10,65,1.9,45,30,2024-05-29 10:31:00
112,5000,163,10,20,69,1.6,60,28,2024-04-26 12:39:00
113,4816,144,13,12,63,1.7,45,19,2024-08-02 06:22:00
114,4786,92,10,14,67,2.2,90,20,2025-04-15 10:29:00
115,4567,56,10,22,65,2.2,90,20,2024-05-03 19:35:00
116,4790,103,19,16,62,1.6,120,22,2024-10-19 18:49:00
117,4987,165,4,19,67,1.8,60,28,2026-01-14 22:29:00
118,4669,12,7,15,67,3.6,45,20,2025-08-29 10:36:00
119,4741,68,2,20,66,1.4,45,26,2024-06-21 06:21:00
120,4743,37,13,19,69,3.0,120,15,2025-12-28 11:28:00
121,4627,123,4,23,62,4.2,90,18,2025-12-21 21:46:00
122,4596,78,18,19,64,1.1,45,18,2024-10-05 07:00:00
123,5067,157,5,15,70,3.5,45,19,2025-10-29 06:40:00
124,4814,163,17,24,64,3.6,45,24,2024-02-16 10:12:00
125,4527,18,17,19,62,2.8,90,29,2025-01-26 10:29:00
126,4517,143,15,10,68,2.9,120,13,2025-09-04 07:26:00
127,4832,164,4,21,64,1.4,60,16,2024-07-30 07:15:00
128,4809,13,20,13,65,3.2,90,24,2025-11-05 21:17:00
129,4817,103,18,17,69,3.1,90,26,2025-01-19 13:57:00
130,4825,113,4,21,63,4.0,45,15,2024-02-02 13:52:00
131,4740,86,12,23,66,3.8,45,12,2024-09-01 08:45:00
132,4418,21,3,16,63,3.8,120,5,2024-02-20 19:48:00
133,4573,115,16,16,64,2.8,90,12,2025-11-02 17:30:00
134,4967,184,14,15,61,1.9,60,30,2024-09-04 14:41:00
135,4451,118,18,11,61,2.3,45,26,2024-06-03 20:31:00
136,4981,45,12,15,65,2.8,120,19,2025-07-29 14:52:00
137,5011,85,19,14,68,1.5,90,8,2024-10-30 17:48:00
138,5028,19,6,15,63,3.1,120,5,2025-06-19 14:43:00
139,4736,166,17,24,61,4.8,60,24,2024-01-26 07:30:00
140,4939,125,19,13,69,1.4,90,16,2024-03-14 17:24:00
141,4928,96,8,19,63,1.5,45,6,2025-12-02 22:44:00
142,4512,93,10,13,67,3.2,60,27,2024-02-04 16:48:00
143,4492,77,3,18,63,4.3,45,6,2024-01-19 08:36:00
144,4710,97,18,19,66,5.0,60,5,2025-02-09 06:10:00
145,4947,36,9,13,66,2.3,60,26,2025-11-07 16:30:00
146,5002,164,11,20,66,1.2,90,30,2025-05-04 16:24:00
147,4913,164,14,14,66,4.7,90,24,2025-10-17 06:45:00
148,4737,57,19,10,69,2.4,45,17,2024-08-15 16:16:00
149,4396,67,6,18,66,1.4,45,13,2024-05-04 19:24:00
150,4916,142,4,11,63,2.6,45,9,2025-02-28 15:21:00
151,4934,28,12,14,65,1.5,60,11,2025-03-29 06:56:00
152,4547,144,3,18,62,2.0,60,14,2025-12-25 13:37:00
153,4936,93,17,21,69,2.7,120,13,2025-06-09 20:18:00
154,4664,146,17,17,65,4.1,45,22,2025-02-16 06:17:00
155,4663,96,6,13,64,2.9,45,6,2025-02-03 22:46:00
156,4407,148,19,20,65,2.3,45,20,2024-11-10 10:29:00
157,4718,62,7,11,66,4.1,120,17,2025-06-04 15:13:00
158,5018,38,12,17,70,2.3,120,25,2024-12-21 18:36:00
159,4649,119,13,20,63,3.2,45,13,2025-07-14 18:12:00
160,4906,141,8,11,67,1.8,45,27,2025-05-27 17:41:00
161,4574,69,18,22,70,1.6,90,6,2025-07-05 22:22:00
162,4595,153,14,19,62,3.3,60,13,2026-01-17 19:56:00
163,4740,100,7,18,67,4.9,45,16,2024-03-15 16:07:00
164,4973,171,13,22,68,3.4,90,9,2024-09-18 09:30:00
165,4740,108,1,21,70,1.2,120,5,2025-10-17 20:49:00
166,4874,3,2,19,69,1.9,45,25,2024-12-24 21:24:00
167,4575,3,15,11,70,2.9,60,19,2025-08-17 22:55:00
168,4846,10,19,10,63,3.8,90,23,2024-05-27 19:53:00
169,4527,187,4,14,70,4.9,60,18,2024-09-10 13:03:00
170,4547,63,6,20,65,4.3,120,22,2024-11-15 20:47:00
171,4687,108,1,24,63,3.8,45,30,2024-09-19 12:48:00
172,5098,188,17,22,69,1.3,90,8,2025-08-20 09:24:00
173,5054,82,19,18,68,4.9,45,5,2024-01-21 16:33:00
174,4860,17,17,24,64,1.5,45,28,2025-03-01 15:55:00
175,4451,93,10,23,69,2.1,120,15,2025-03-15 19:07:00
176,4389,25,11,12,69,1.9,45,22,2024-12-22 21:11:00
177,4891,95,19,19,63,1.8,45,5,2024-08-30 18:33:00
178,5040,41,11,21,62,2.2,45,14,2025-07-18 08:01:00
179,4789,27,17,10,70,1.6,90,25,2024-11-13 11:19:00
180,4540,106,16,21,69,3.8,120,23,2024-11-02 10:33:00
181,4671,93,14,10,61,4.5,90,30,2025-12-05 18:34:00
182,5089,151,13,10,70,4.9,60,7,2025-05-23 13:17:00
183,4913,152,6,23,66,2.8,60,29,2024-05-28 10:25:00
184,4867,149,20,11,62,4.2,45,18,2024-02-05 13:25:00
185,5095,21,16,14,61,4.3,90,18,2024-08-04 16:08:00
186,4857,190,15,12,65,3.7,45,10,2024-05-19 16:26:00
187,4910,131,1,13,65,2.2,60,17,2025-07-31 14:15:00
188,4403,11,2,24,63,4.0,45,10,2025-09-08 12:12:00
189,5013,48,7,16,64,1.7,45,16,2025-09-23 12:42:00
190,5069,195,1,19,69,3.0,60,9,2025-06-03 09:00:00
