id,klient_id,data_id,sala_id,czas_pobytu_min,data_wejscia
1,10,4710,61,50,2024-08-16 17:30:00
2,89,4907,64,45,2024-03-13 07:45:00
3,46,4550,62,106,2024-07-08 11:36:00
4,124,4827,66,51,2024-07-21 06:54:00
5,199,4854,61,126,2024-11-23 15:34:00
6,86,4788,63,157,2025-05-02 08:37:00
7,116,4484,70,171,2025-02-22 20:42:00
8,117,4860,63,109,2024-12-28 16:39:00
9,71,4654,62,101,2024-06-10 17:02:00
10,78,4480,63,75,2025-11-15 15:49:00
11,11,4575,61,33,2025-01-25 15:58:00
12,45,4833,69,168,2025-12-14 06:43:00
13,140,4708,69,84,2025-07-09 07:48:00
14,47,4515,64,126,2024-07-21 06:29:00
15,162,4572,70,147,2025-07-12 09:59:00
16,68,4807,68,46,2025-03-24 19:21:00
17,66,4807,61,93,2025-01-23 21:09:00
18,8,4507,63,131,2024-01-24 14:12:00
19,106,4775,69,75,2024-02-14 12:21:00
20,195,4610,70,165,2025-05-22 11:07:00
21,129,4805,70,34,2024-12-31 09:48:00
22,198,4929,68,140,2024-10-09 09:26:00
23,135,5049,62,86,2024-11-16 14:57:00
24,197,4479,63,121,2024-04-06 17:33:00
25,9,5002,70,163,2025-06-14 06:26:00
26,111,4769,63,32,2025-07-30 08:41:00
27,67,4978,67,174,2025-09-04 10:05:00
28,60,4404,67,92,2024-10-30 11:09:00
29,72,5017,61,53,2024-11-15 07:34:00
30,144,4555,70,92,2025-03-03 22:15:00
31,86,4643,62,169,2024-03-14 15:48:00
32,52,4769,65,123,2025-04-24 18:19:00
33,2,4610,70,40,2024-10-26 18:27:00
34,191,4752,68,112,2024-08-04 18:54:00
35,132,4495,67,72,2025-09-13 13:48:00
36,74,4972,68,82,2026-01-14 16:19:00
37,19,5072,63,168,2025-11-12 10:55:00
38,107,4966,69,134,2025-03-24 18:05:00
39,192,4643,64,175,2024-02-04 12:11:00
40,119,4443,65,31,2025-11-14 22:36:00
41,131,4692,69,176,2024-05-01 17:07:00
42,51,5007,64,115,2025-12-14 19:38:00
43,112,4385,68,176,2025-09-29 13:07:00
44,184,4933,68,43,2024-02-01 10:39:00
45,149,4601,68,42,2024-05-26 10:21:00
46,65,5094,61,41,2024-09-21 18:26:00
47,64,4850,66,90,2024-12-18 15:58:00
48,37,4626,66,114,2025-11-24 21:59:00
49,73,4840,68,45,2024-03-16 11:24:00
50,110,4788,68,75,2024-03-31 11:14:00
51,98,4467,67,132,2025-06-10 22:26:00
52,178,4886,65,104,2025-07-26 13:15:00
53,150,4961,67,60,2025-11-22 12:26:00
54,195,5047,70,142,2025-09-24 08:38:00
55,99,4737,69,150,2024-07-07 13:06:00
56,102,4475,69,150,2024-02-29 06:02:00
57,64,4408,67,148,2025-02-21 12:34:00
58,33,4557,66,99,2025-06-21 06:59:00
59,95,4732,70,166,2025-01-13 07:11:00
60,88,5090,62,172,2024-05-18 19:05:00
61,100,4474,64,158,2024-06-26 08:00:00
62,109,4528,64,113,2025-07-02 10:16:00
63,163,4833,66,70,2024-06-19 09:56:00
64,126,4629,61,56,2025-08-25 08:31:00
65,165,4828,66,106,2024-02-13 16:17:00
66,18,4937,61,45,2026-01-04 08:37:00
67,83,4603,65,79,2026-01-10 16:54:00
68,159,4535,67,141,2025-10-14 13:00:00
69,77,4398,61,89,2025-02-11 18:30:00
70,84,4564,63,34,2025-12-27 13:28:00
71,64,4743,65,69,2025-09-09 16:41:00
72,6,4950,69,120,2024-06-25 18:57:00
73,48,4399,69,102,2024-10-09 14:29:00
74,110,4631,70,78,2025-09-15 16:55:00
75,182,4930,62,152,2024-05-21 10:58:00
76,123,4742,62,119,2025-07-13 06:43:00
77,139,4924,70,120,2025-01-01 17:43:00
78,47,4935,68,86,2024-06-16 22:08:00
79,138,4556,67,146,2025-11-03 15:31:00
80,69,4424,63,68,2024-02-12 12:37:00
81,114,5048,70,115,2025-10-03 21:12:00
82,153,4947,70,78,2024-08-06 19:12:00
83,48,5040,68,154,2024-04-10 22:15:00
84,137,4616,61,103,2024-09-26 19:05:00
85,194,5028,70,152,2024-04-20 21:01:00
86,109,4414,69,128,2024-11-04 10:16:00
87,16,4712,63,84,2025-02-12 10:55:00
88,127,4734,70,133,2025-01-19 18:32:00
89,100,4565,62,153,2025-07-20 08:23:00
90,177,4654,66,167,2026-01-14 18:50:00
91,43,4580,69,126,2024-07-22 17:42:00
92,33,4795,66,113,2024-09-25 20:56:00
93,107,4939,68,108,2025-12-11 21:53:00
